Nationality,Count of Nationality
Albania,1
Algeria,6
Argentina,14
Armenia,1
Australia,3
Austria,4
Belgium,14
Bosnia and Herz.,3
Brazil,27
Burkina Faso,1
Cameroon,2
Canada,2
Chile,1
Colombia,3
Congo,1
Croatia,7
Czech,5
Dem. Rep. Congo,1
Denmark,12
Dem. Rep. Congo,2
Ecuador,2
Egypt,5
United Kingdom,410
Estonia,1
France,43
Gabon,2
Germany,14
Ghana,6
Greece,2
Guinea,2
Hungary,1
Iceland,3
Iran,1
Ireland,30
Israel,1
Italy,9
Côte d'Ivoire,11
Jamaica,3
Japan,3
Kosovo,1
Mali,3
Montenegro,1
Morocco,3
Netherlands,32
New Zealand,1
Nigeria,11
Macedonia,1
Norway,5
Paraguay,2
Poland,13
Portugal,33
Romania,1
Senegal,6
Serbia,5
Slovakia,2
Slovenia,1
South Africa,3
South Korea,1
Spain,39
Sweden,8
Switzerland,6
Tanzania,1
Thailand,1
Turkey,5
Ukraine,2
United States of America,10
Uruguay,3
Zimbabwe,3
